,destination,distance,duration,mode,origin
0,98007,0,0,driving,98007
1,98290,56135,2838,driving,98007
2,98065,38955,2417,driving,98007
3,98801,236385,10226,driving,98007
4,98104,23032,1315,driving,98007
5,98007,55445,2911,driving,98290
6,98290,0,0,driving,98290
7,98065,64192,4027,driving,98290
8,98801,196162,9919,driving,98290
9,98104,65471,2980,driving,98290
10,98007,37749,2191,driving,98065
11,98290,64088,4036,driving,98065
12,98065,0,0,driving,98065
13,98801,213920,9839,driving,98065
14,98104,50484,2676,driving,98065
15,98007,235495,10008,driving,98801
16,98290,196038,9926,driving,98801
17,98065,213818,9788,driving,98801
18,98801,0,0,driving,98801
19,98104,248230,10493,driving,98801
20,98007,19705,1141,driving,98104
21,98290,65645,3016,driving,98104
22,98065,50588,2736,driving,98104
23,98801,248018,10545,driving,98104
24,98104,0,0,driving,98104
25,98007,0,0,walking,98007
26,98290,48535,36411,walking,98007
27,98065,40023,30934,walking,98007
28,98801,215107,168234,walking,98007
29,98104,19461,14944,walking,98007
30,98007,48652,36087,walking,98290
31,98290,0,0,walking,98290
32,98065,59001,44034,walking,98290
33,98801,194403,147877,walking,98290
34,98104,58063,43643,walking,98290
35,98007,35723,27316,walking,98065
36,98290,59001,43985,walking,98065
37,98065,0,0,walking,98065
38,98801,185919,145698,walking,98065
39,98104,49298,37824,walking,98065
40,98007,214715,166292,walking,98801
41,98290,194402,146095,walking,98801
42,98065,186032,144971,walking,98801
43,98801,0,0,walking,98801
44,98104,228290,176799,walking,98801
45,98007,19208,15360,walking,98104
46,98290,58063,44449,walking,98104
47,98065,53324,41851,walking,98104
48,98801,228408,179151,walking,98104
49,98104,0,0,walking,98104
50,98007,0,0,bicycling,98007
51,98290,54613,11761,bicycling,98007
52,98065,38056,9172,bicycling,98007
53,98801,246037,54921,bicycling,98007
54,98104,20869,5428,bicycling,98007
55,98007,53839,11209,bicycling,98290
56,98290,0,0,bicycling,98290
57,98065,60858,13077,bicycling,98290
58,98801,270838,58827,bicycling,98290
59,98104,69689,14776,bicycling,98290
60,98007,39878,8726,bicycling,98065
61,98290,60752,12966,bicycling,98065
62,98065,0,0,bicycling,98065
63,98801,214794,47526,bicycling,98065
64,98104,53345,12329,bicycling,98065
65,98007,248582,53417,bicycling,98801
66,98290,273972,57916,bicycling,98801
67,98065,217124,46758,bicycling,98801
68,98801,0,0,bicycling,98801
69,98104,262049,57020,bicycling,98801
70,98007,20263,5775,bicycling,98104
71,98290,69000,14926,bicycling,98104
72,98065,51268,13276,bicycling,98104
73,98801,259249,59025,bicycling,98104
74,98104,0,0,bicycling,98104
75,98007,0,0,bus,98007
76,98290,-1,-1,bus,98007
77,98065,-1,-1,bus,98007
78,98801,-1,-1,bus,98007
79,98104,26752,4243,bus,98007
80,98007,-1,-1,bus,98290
81,98290,0,0,bus,98290
82,98065,-1,-1,bus,98290
83,98801,-1,-1,bus,98290
84,98104,-1,-1,bus,98290
85,98007,-1,-1,bus,98065
86,98290,-1,-1,bus,98065
87,98065,0,0,bus,98065
88,98801,-1,-1,bus,98065
89,98104,-1,-1,bus,98065
90,98007,-1,-1,bus,98801
91,98290,-1,-1,bus,98801
92,98065,-1,-1,bus,98801
93,98801,0,0,bus,98801
94,98104,-1,-1,bus,98801
95,98007,26398,3503,bus,98104
96,98290,-1,-1,bus,98104
97,98065,-1,-1,bus,98104
98,98801,-1,-1,bus,98104
99,98104,0,0,bus,98104
100,98007,0,0,rail,98007
101,98290,-1,-1,rail,98007
102,98065,-1,-1,rail,98007
103,98801,-1,-1,rail,98007
104,98104,26584,4902,rail,98007
105,98007,-1,-1,rail,98290
106,98290,0,0,rail,98290
107,98065,-1,-1,rail,98290
108,98801,-1,-1,rail,98290
109,98104,-1,-1,rail,98290
110,98007,-1,-1,rail,98065
111,98290,-1,-1,rail,98065
112,98065,0,0,rail,98065
113,98801,-1,-1,rail,98065
114,98104,-1,-1,rail,98065
115,98007,-1,-1,rail,98801
116,98290,-1,-1,rail,98801
117,98065,-1,-1,rail,98801
118,98801,0,0,rail,98801
119,98104,-1,-1,rail,98801
120,98007,23188,4115,rail,98104
121,98290,-1,-1,rail,98104
122,98065,-1,-1,rail,98104
123,98801,-1,-1,rail,98104
124,98104,0,0,rail,98104
